非公開,質問,回答,質問者,回答者,日付,Discord元リンク,回答数
,ご質問です！ストレッチは1日で2分伸ばさないと意味が無いとタイチさんは仰っていたと思いますが、2分以上伸ばすのは効果はあまり変わらないですか？？,"【タイチ】
研究結果的には変わらないと言われていますが僕は絶対変わると思ってます👍
2分伸ばすと、だんだんストレッチの痛みも緩んでくるのでそこからニューテーションを強めたり肩甲骨の下制を強めたりできます。
なのでやればやるほど柔らかくはなりますがずっと同じ形で伸ばすのは変わらないです。
伸ばしている中で骨を動かしてよりストレッチがかかる方向へと深め続けると変わっていくという考え方です👍",まつもとひびき   310264,タイチ,2025-12-16,https://discord.com/channels/1441619538293686387/1444479247669530664/1450332084236456017,1
,12/13の質疑応答LIVEで教えてもらった50:40ぐらいの股関節の屈曲の練習について質問したいんですが、最後のお尻を締める時はカウンターニューテーションでしょうか？,"【タイチ】
はい！その通りです！
最後にお尻をしめます👍

---

【q 763408】
返信ありがとうございます！
意識してやってみます！",q 763408,"q 763408, タイチ",2025-12-16,https://discord.com/channels/1441619538293686387/1444479247669530664/1450429224241332327,2
,お忙しいところ失礼します。 足裏母指球、小指球、かかと3点均等に体重乗せるのを意識しているのですが。 片足を前に出して着いた時、右足は膝が真っ直ぐになるのですが、左足は膝が内側に入ってしまいます。  そういえば自転車漕ぐ時やスクワットの時も左膝が内側に入ってしまいます。  L4〜5ヘルニア持ちで左側に足まで坐骨神経持ちではありますが、何か関係があるのでしょうか。 そしてこの内側に入ってしまう膝をなおすには何を行えばいいでしょうか？,"【タイチ】
左足だけX脚のようなイメージですかね？🤔
そうだとすれば坐骨神経痛もあると考えて、左の中臀筋や腹斜筋が弱くなっていることが考えられたり、ハムストリングスや内腿が硬くなっていることも考えられます！

なので上記のトレーニングとストレッチをしながら足裏の3点感覚も意識して膝をしっかり外にひろげるようにしてみて下さい！

ちなみに！配信予定のX脚徹底改善動画は今の状態の改善に役立つと思うので是非閲覧するようにしてみて下さい🙂‍↕️

---

【まい763441】
ありがとうございます！！
見た目はX脚でもO脚でもないのですが、たしかに左の中臀筋が弱いのと、ハムストリングスや内腿はいつもかなり硬いイメージです！
一時臀筋かなり鍛えたときにひどい坐骨神経痛が出たので怖くて臀筋群はストレッチで伸ばす事ばかりしていて鍛えるのをやめてしまっていました💦
足裏3点の意識をつけることと、伸ばすことばかりせず鍛えることも取り入れ、X脚改善動画もやってみます！
ありがとうございます😊",まい763441,"まい763441, タイチ",2025-12-16,https://discord.com/channels/1441619538293686387/1444479247669530664/1450444223089217644,2
,いつもありがとうございます😊質問じゃないけどタイチさんにリクエスト！ 毎朝、毎晩寝る前にタイチメゾット込み込みのヨガ30分位を毎日やりたいです！ トレーニングというよりヨガで、タイチさんの癒しボイス誘導で！  すでにYouTubeにも快眠、熟睡ヨガ10分くらいのあると思うんですけど、もう少し長いのでかつ初心者向きではなくサロンで日々タイチメゾットを取り組んでる人向けのが欲しいです🥰  moshの月〜日曜日20分の固定にある感じで、 朝ヨガ、夜ヨガの動画置いて頂けると毎日やりやすいです🫡  YouTubeでも色々あるし、太陽礼拝もいいんですが、なんかタイチメゾットでやると全然違うんですよね〜なんでだろう、、 ご検討ください〜！,"【タイチ】
お！提案嬉しいです😊

頭に入れておきます👍
アンケート一度取りますね！",naho743413,タイチ,2025-12-25,https://discord.com/channels/1441619538293686387/1444479247669530664/1453653070201225277,1
,こんにちは！いつもわかりやすい説明でのレッスンありがとうございます！ 質問です！12月8日のアーカイブ45の胸を開くレッスンで、うつ伏せになり肘90度屈曲し胸を開いていくポーズですの事なのですが、レッスンを受けるまでは肘を肩の高さで伸ばして同じように胸を開いていたのですが、肘屈曲で行うポーズの方が肩周りの色々な筋肉に効いている気がしますし、胸の開き具合が伸展より断然効果あります！ 違いはなんでしょうか！？ 効く場所にかなり違いがありますが！？,"【maki329318】
誤字多くてすみません笑
違いがありますか！？笑",maki329318,maki329318,2025-12-26,https://discord.com/channels/1441619538293686387/1444479247669530664/1454035206729109575,1
,リクエストです🙏  長期旅行中なんですが、ヨガブロックなどのグッズを持って行くのが難しいので、できることを細切れでやっています。 グッズなし又は持ち運び可能な小さいグッズの範囲での、できるストレッチとかトレーニングコレクションがあると出先でもできて助かります。,"【タイチ】
旅行先や出張先シリーズですね！
リクエストありがとうございます🙂‍↕️

---

【しか414021】
今日のオンラインで途中から何もできないや！ってなってしまいました🙏よろしくお願いします！",しか414021,"しか414021, タイチ",2025-12-27,https://discord.com/channels/1441619538293686387/1444479247669530664/1454445028519710915,2
,Taichi 先生、今日朝のレッスンありがとうございました。最後の鳩王とても難しく、上半身は床と90度にはなりますが、それ以上に後ろに反ることが出来ません。感覚としては、臀筋が硬くて邪魔して反れないような感じです。腸腰筋は本日の鳩王に至るまでの様々な動きで痛くなっていました💦　何に重点おいてトレーニングすると良いと思われますか？,"【タイチ】
ありがとうございます！
まず先にお聞きしたいのですが、腸腰筋が痛くなってしまったということのは痛めてしまったという認識でしょうか？？

---

【LewesGlynde765570】
Taichi 先生、お返事ありがとうございます。しばらくして痛みは消えましたので筋肉を痛めてはおりません。

---

【タイチ】
臀筋が硬い感覚が強いのであればまずはリリースてすね！
筋膜リリースボールで全体的にお尻に当ててほぐしてあげて下さい🙂‍↕️

そこから入ると良いと思います！

硬い感覚がなくなるまでほぐした後にお尻の収縮を意識しながら腸腰筋と前もものストレッチを入れてあげて下さい！

呼吸は胸式呼吸で👍

---

【タイチ】
ちなみに補足で腰の柔軟性よりも腸腰筋と四頭筋、胸の柔軟性をつける事が近道です！

---

【LewesGlynde765570】
早速ご回答をありがとうございます。スクワット、デッドリフトなど筋トレで筋肉硬くなっているのだと思います！リリースボールストレッチ、教えて頂きました部位のストレッチ行ってj柔軟性高めます！鳩王👑できたらご報告しますね！　お礼まで😉",LewesGlynde765570,"LewesGlynde765570, タイチ",2025-12-27,https://discord.com/channels/1441619538293686387/1444479247669530664/1454458892422479966,5
,筋膜リリースボールでほぐすのとマッサージガンでほぐすのは効果は全然違うのでしょうか？,"【タイチ】
筋膜リリースボールとマッサージガン、効果が「全然違う」とまでは言い切れないけど、狙えるポイントが結構違います🙂‍↕️

マッサージガンは振動で広い範囲を手早くゆるめるのが得意なんですが、ガンは素早く小刻みに当たる→離れる→当たる→離れるを繰り返すので、狙った一点への圧が途切れやすい＝リリース感が弱くなることがあります。

一方ボールは、ずっと触れた状態で圧をかけ続けられるので、同じポイントに連続して刺激が入りやすく、硬さや引っかかり（癒着っぽい感じ）がほどけやすいのが強みです。

なので使い分けとしては、
・ピンポイントのコリ/癒着を緩める→ボール
・広い範囲を短時間でゆるめる→ガン

の使い分けを覚えておくと良いと思います！

---

【いの765354】
とてもわかりやすくて丁寧な回答をありがとうございます。
まだ手元にボールがなくてマッサージガンで代用していましたが、早くボールを使って筋膜リリースしたいと思いました。
今後ともよろしくお願いいたします。",いの765354,"いの765354, タイチ",2025-12-28,https://discord.com/channels/1441619538293686387/1444479247669530664/1454684757760671868,2
,質問です！ライブレッスンの内容を3日に分けて細切れで行うのと、2時間分まとめて行うのと効果に違いはありますか？ 幼い子どもがいて一度に2時間取ることが難しい&体が硬過ぎて途中で疲れてしまいます😂,"【タイチ】
効果は変わらないと思います！
なので3日に分けてやって頂くのもありです！

ただ構成的には後半のメインパートまで繋がりを持たせてるので、1レッスンを通しでおこなった方が変化スピードはあると思っといて下さい🙂‍↕️

育児と両立させれてる時点で偉すぎるので、ご自身を褒め讃えることもお忘れなく👍",末山佳南,タイチ,2025-12-28,https://discord.com/channels/1441619538293686387/1444479247669530664/1454821785219498135,1
,足を広げて前に伸ばし座った姿勢で、かかと横に置いたブロックを行ったり来たりまたぐ腸腰筋のエクササイズですが、大腿直筋にきいてしまってる気がします。そもそも骨盤を立てた状態キープで足を上げること自体難しいです。舟のポーズをとるのも苦手でやはり大腿直筋が痛くなってしまいます。(そもそも足の付け根の中央よりちょっと外側あたりは大腿直筋で合ってますか？) 腸腰筋が入るための条件の何かが欠けているのでしょうが何だと思われますか？わたしのような代償が出やすい人間でも大腿直筋に入らずに腸腰筋を強化できるエクササイズは何かありますか？ よろしくお願いいたします。,"【タイチ】
ご質問ありがとうございます！

その場合は主に内転筋が使われていないです！
大腿直筋のやや外側だと大腿筋膜張筋or外側広筋の付け根になると思いますがどちらにせよエラーフォームなので内転筋を使えるようにしないといけないです！
足を広げていたとしたも足を閉じる船のポーズだとしても内転筋が働かないと腸腰筋で足を持ち上げる事はできません。

改善策
①船のポーズの場合
ティッシュを膝の間に挟み落とさないぐらい内腿を締めて船のポーズをしてみて下さい！
この時お腹は薄く引っ込めて、胸式呼吸をおこなうことです☝️
②足を広げた場合
実際にやらなくても良いですが、広げた足の間に大きいバランスボールを挟んでるとイメージしてください。家にある場合は実際にバランスボールを挟んでも構いません！
そのイメージで内転筋を使い、ここもお腹を薄く引っ込めながらやってみて下さい！

最初はどちらの場合も外腿の付け根に効くようであれば大腿筋膜張筋の筋膜リリースをした方が良いです！
横向きに寝転がって両膝を90度に曲げて重ねて大腿筋膜張筋に当てて体を前後に動かします🎾
この後にやるとかなり軽くなると思います👍",Ciel130959,タイチ,2025-12-29,https://discord.com/channels/1441619538293686387/1444479247669530664/1455090006124134644,1
